,Cliente_ID,Churn,Genero,Eh_Idoso,Possui_Parceiro,Possui_Dependentes,Meses_Contrato,Possui_Telefone,Possui_Varias_Linhas,Possui_Internet,Possui_Seguranca_Online,Possui_Backup,Possui_Protecao,Possui_Suporte_TV,Possui_TV_Cabo,Possui_Streaming,Tipo_Contrato,Fatura_Online,Forma_Pagamento,Total_Mes,Total_Gasto,Custo_Diario,Qtde_Servicos_Contratados
0,0002-ORFBO,0,Female,0,1,1,9,1,0,DSL,0,1,0,1,1,0,One year,1,Mailed check,65.6,593.3,2.19,5
1,0003-MKNFE,0,Male,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Month-to-month,0,Mailed check,59.9,542.4,2.0,4
2,0004-TLHLJ,1,Male,0,0,0,4,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,73.9,280.85,2.46,3
3,0011-IGKFF,1,Male,1,1,0,13,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.0,1237.85,3.27,6
4,0013-EXCHZ,1,Female,1,1,0,3,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Mailed check,83.9,267.4,2.8,4
5,0013-MHZWF,0,Female,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),69.4,571.45,2.31,5
6,0013-SMEOE,0,Female,1,1,0,71,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),109.7,7904.25,3.66,8
7,0014-BMAQU,0,Male,0,1,0,63,1,1,Fiber optic,1,0,0,1,0,0,Two year,1,Credit card (automatic),84.65,5377.8,2.82,5
8,0015-UOCOJ,0,Female,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,48.2,340.35,1.61,3
9,0016-QLJIS,0,Female,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Two year,1,Mailed check,90.45,5957.9,3.02,9
10,0017-DINOC,0,Male,0,0,0,54,0,0,DSL,1,0,0,1,1,0,Two year,0,Credit card (automatic),45.2,2460.55,1.51,4
11,0017-IUDMW,0,Female,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),116.8,8456.75,3.89,9
12,0018-NYROU,0,Female,0,1,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,68.95,351.5,2.3,2
13,0019-EFAEP,0,Female,0,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,7261.25,3.38,7
14,0019-GFNTW,0,Female,0,0,0,56,0,0,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,2560.1,1.5,5
15,0020-INWCK,0,Female,0,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,6849.4,3.19,6
16,0020-JDNXP,0,Female,0,1,1,34,0,0,DSL,1,0,1,1,1,1,One year,0,Mailed check,61.25,1993.2,2.04,6
17,0021-IKXGC,0,Female,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,72.1,2.4,3
18,0022-TCJCI,1,Male,1,0,0,45,1,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),62.7,2791.5,2.09,5
19,0023-HGHWL,1,Male,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,25.1,0.84,1
20,0023-UYUPN,0,Female,1,1,0,50,1,1,No,0,0,0,0,0,0,One year,0,Electronic check,25.2,1306.3,0.84,3
21,0023-XUOPT,1,Female,0,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,1215.6,3.14,6
22,0027-KWYKW,0,Female,0,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,1849.95,2.79,4
23,0030-FNXPP,0,Female,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,57.2,0.66,2
24,0031-PVLZI,1,Female,0,1,1,4,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.35,76.35,0.68,2
25,0032-PGELS,1,Female,0,1,1,1,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30.5,1.02,2
26,0036-IHMOT,0,Female,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656.75,3.46,7
27,0040-HALCW,0,Male,0,1,1,54,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.4,1090.6,0.68,2
28,0042-JVWOJ,0,Male,0,0,0,26,1,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),19.6,471.85,0.65,2
29,0042-RLHYP,0,Female,0,1,1,69,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),19.7,1396.9,0.66,2
30,0048-LUMLS,0,Male,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,3247.55,3.04,4
31,0048-PIHNL,0,Female,0,1,0,49,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),20.45,900.9,0.68,2
32,0052-DCKON,0,Male,0,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Bank transfer (automatic),115.8,7942.15,3.86,9
33,0052-YNYOT,0,Female,0,0,0,67,1,0,No,0,0,0,0,0,0,One year,0,Electronic check,20.55,1343.4,0.68,2
34,0056-EPFBG,0,Male,0,1,1,20,0,0,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),39.4,825.4,1.31,4
35,0057-QBUQH,0,Female,0,0,1,43,1,1,No,0,0,0,0,0,0,Two year,1,Electronic check,25.1,1070.15,0.84,3
36,0058-EVZWM,0,Female,0,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,2.99,5
37,0060-FUALY,0,Female,0,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,94.75,5597.65,3.16,6
38,0064-SUDOG,0,Female,0,1,1,12,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.3,224.5,0.68,2
39,0064-YIJGF,0,Male,0,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,1929.0,2.52,3
40,0067-DKWBL,1,Male,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,91.1,1.64,3
41,0068-FIGTF,0,Female,0,0,0,27,1,0,DSL,0,1,1,1,1,1,One year,0,Mailed check,78.2,2078.95,2.61,7
42,0071-NDAFP,0,Male,0,1,1,25,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.5,630.6,0.85,3
43,0074-HDKDG,0,Male,0,1,1,25,1,0,DSL,1,1,1,0,0,0,One year,1,Bank transfer (automatic),61.6,1611.0,2.05,5
44,0076-LVEPS,0,Male,0,0,1,29,0,0,DSL,1,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,1242.45,1.5,5
45,0078-XZMHT,0,Male,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,6316.2,2.84,8
46,0080-EMYVY,0,Female,0,0,0,14,1,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),51.45,727.85,1.72,3
47,0080-OROZO,0,Female,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,99.25,3532.0,3.31,6
48,0082-LDZUE,0,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,44.3,44.3,1.48,2
49,0082-OQIQY,0,Male,0,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,2607.6,3.14,5
50,0083-PIVIK,0,Male,0,0,0,64,1,1,DSL,1,1,1,1,1,0,One year,0,Electronic check,81.25,5567.55,2.71,8
51,0089-IIQKO,0,Female,0,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,3767.4,3.33,6
52,0093-EXYQL,0,Female,1,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,91.55,3673.6,3.05,4
53,0093-XWZFY,1,Male,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,4036.85,3.48,7
54,0094-OIFMO,1,Female,1,0,0,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120.3,3.17,5
55,0096-BXERS,0,Female,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,50.35,314.55,1.68,3
56,0096-FCPUF,0,Male,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Month-to-month,1,Mailed check,64.5,1888.45,2.15,5
57,0098-BOWSO,0,Male,0,0,0,27,1,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,19.4,529.8,0.65,2
58,0100-DUVFC,0,Male,1,1,0,70,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,104.8,7308.95,3.49,7
59,0103-CSITQ,0,Female,0,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),109.4,6252.7,3.65,8
60,0104-PPXDV,0,Male,0,1,0,58,1,0,DSL,0,0,1,0,0,0,One year,0,Credit card (automatic),50.3,2878.55,1.68,3
61,0106-GHRQR,0,Male,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,2.38,6
62,0106-UGRDO,0,Female,0,1,0,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,116.0,8182.85,3.87,9
63,0107-WESLM,1,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,19.85,19.85,0.66,2
